mpg,cylinders,cubicinches,hp,weightlbs,time-to-60,year,brand
14.0,8,350.0,165,4209.0,12,1972,US
31.9,4,89.0,71,1925.0,14,1980,Europe
17.0,8,302.0,140,3449.0,11,1971,US
15.0,8,400.0,150,3761.0,10,1971,US
30.5,4,98.0,63,2051.0,17,1978,US
23.0,8,350.0,125,3900.0,17,1980,US
13.0,8,351.0,158,4363.0,13,1974,US
14.0,8,440.0,215,4312.0,9,1971,US
25.4,5,183.0,77,3530.0,20,1980,Europe
37.7,4,89.0,62,2050.0,17,1982,Japan
34.0,4,108.0,70,2245.0,17,1983,Japan
34.3,4,97.0,78,2188.0,16,1981,Europe
16.0,8,302.0,140,4141.0,14,1975,US
11.0,8,350.0,180,3664.0,11,1974,US
19.1,6,225.0,90,,19,1981,US
16.9,8,350.0,155,4360.0,15,1980,US
31.8,4,85.0,65,2020.0,19,1980,Japan
16.0,8,304.0,150,3433.0,12,1971,US
24.0,4,113.0,95,2278.0,16,1973,Japan
24.0,4,107.0,90,2430.0,15,1971,Europe
37.2,4,86.0,65,2019.0,16,1981,Japan
21.5,4,121.0,110,2600.0,13,1978,Europe
24.0,6,200.0,81,3012.0,18,1977,US
15.5,8,351.0,142,4054.0,14,1980,US
38.1,4,89.0,60,1968.0,19,1981,Japan
33.0,4,91.0,53,1795.0,17,1977,Japan
31.0,4,71.0,65,1773.0,19,1972,Japan
14.0,8,351.0,148,4657.0,14,1976,US
18.0,6,250.0,78,3574.0,21,1977,US
29.9,4,98.0,65,2380.0,21,1982,US
27.0,4,97.0,88,2130.0,15,1971,Japan
16.0,6,250.0,100,3278.0,18,1974,US
23.0,4,120.0,97,2506.0,15,1973,Japan
21.0,6,199.0,90,,15,1971,US
30.0,4,97.0,67,1985.0,16,1978,Japan
22.4,6,231.0,110,3415.0,16,1982,US
26.0,4,97.0,46,1835.0,21,1971,Europe
21.5,3,80.0,110,2720.0,14,1978,Japan
16.5,8,351.0,138,3955.0,13,1980,US
20.2,6,232.0,90,3265.0,18,1980,US
16.0,6,,105,3897.0,19,1976,US
14.0,8,302.0,140,4638.0,16,1975,US
18.5,6,250.0,110,3645.0,16,1977,US
17.5,6,250.0,110,3520.0,16,1978,US
14.0,8,455.0,225,3086.0,10,1971,US
31.6,4,120.0,74,2635.0,18,1982,Japan
13.0,8,318.0,150,3755.0,14,1977,US
22.0,4,122.0,86,2395.0,16,1973,US
29.0,4,97.0,78,1940.0,15,1978,Europe
20.2,6,200.0,88,3060.0,17,1982,US
13.0,8,400.0,150,4464.0,12,1974,US
27.2,4,141.0,71,3190.0,25,1980,Europe
14.0,8,340.0,160,3609.0,8,1971,US
24.0,4,116.0,75,2158.0,16,1974,Europe
16.5,8,350.0,180,4380.0,12,1977,US
16.0,8,400.0,230,4278.0,10,1974,US
19.0,6,156.0,108,2930.0,16,1977,Japan
33.5,4,98.0,83,2075.0,16,1978,US
29.0,4,90.0,70,1937.0,14,1977,Europe
13.0,8,360.0,175,3821.0,11,1974,US
18.0,6,232.0,100,2945.0,16,1974,US
22.0,4,108.0,94,2379.0,17,1974,Japan
32.7,6,168.0,132,2910.0,11,1981,Japan
46.6,4,86.0,65,2110.0,18,1981,Japan
14.0,8,318.0,150,4237.0,15,1974,US
18.5,6,250.0,98,3525.0,19,1978,US
26.0,4,97.0,46,1950.0,21,1974,Europe
32.0,4,91.0,67,1965.0,16,1983,Japan
29.5,4,97.0,71,1825.0,12,1977,Europe
17.5,8,305.0,145,3880.0,13,1978,US
20.0,6,198.0,95,3102.0,17,1975,US
27.0,4,112.0,88,2640.0,19,1983,US
28.0,4,97.0,92,2288.0,17,1973,Japan
24.0,4,119.0,97,2545.0,17,1976,Japan
29.0,4,98.0,83,2219.0,17,1975,Europe
38.0,6,262.0,85,3015.0,17,1983,US
22.5,6,232.0,90,3085.0,18,1977,US
21.1,4,134.0,95,2515.0,15,1979,Japan
26.0,4,98.0,90,2265.0,16,1974,Europe
32.4,4,108.0,75,2350.0,17,1982,Japan
15.5,8,400.0,190,4325.0,12,1978,US
12.0,8,429.0,198,4952.0,12,1974,US
19.2,8,305.0,145,3425.0,13,1979,US
23.0,4,115.0,95,2694.0,15,1976,Europe
25.0,4,116.0,81,2220.0,17,1977,Europe
35.0,4,72.0,69,1613.0,18,1972,Japan
18.0,6,199.0,97,2774.0,16,1971,US
17.6,6,225.0,85,3465.0,17,1982,US
28.0,4,90.0,75,2125.0,15,1975,US
31.0,4,119.0,82,2720.0,19,1983,US
34.1,4,86.0,65,1975.0,15,1980,Japan
27.2,4,119.0,97,2300.0,15,1979,Japan
13.0,8,350.0,175,4100.0,13,1974,US
17.0,6,250.0,100,3329.0,16,1972,US
26.0,4,98.0,79,2255.0,18,1977,US
17.0,6,231.0,110,3907.0,21,1976,US
12.0,8,350.0,180,4499.0,13,1974,US
18.0,6,250.0,88,3139.0,15,1972,US
18.2,8,318.0,135,3830.0,15,1980,US
16.0,6,250.0,100,3781.0,17,1975,US
11.0,8,400.0,150,4997.0,14,1974,US
12.0,8,400.0,167,4906.0,13,1974,US
25.0,4,98.0,80,2126.0,17,1973,US
34.2,4,105.0,70,2200.0,13,1980,US
32.2,4,108.0,75,2265.0,15,1981,Japan
26.6,4,151.0,84,2635.0,16,1982,US
43.4,4,90.0,48,2335.0,24,1981,Europe
30.0,4,88.0,76,2065.0,15,1972,Europe
25.0,4,121.0,115,2671.0,14,1976,Europe
18.0,8,307.0,130,3504.0,12,1971,US
20.0,4,97.0,88,2279.0,19,1974,Japan
18.0,4,121.0,112,2933.0,15,1973,Europe
16.0,8,351.0,149,4335.0,15,1978,US
33.0,4,91.0,53,1795.0,18,1976,Japan
37.3,4,91.0,69,2130.0,15,1980,Europe
18.0,6,225.0,95,3785.0,19,1976,US
24.5,4,151.0,88,2740.0,16,1978,US
21.0,6,231.0,110,3039.0,15,1976,US
34.4,4,98.0,65,2045.0,16,1982,US
15.0,8,429.0,198,4341.0,10,1971,US
27.0,4,101.0,83,2202.0,15,1977,Europe
26.0,4,79.0,67,1963.0,16,1975,Europe
16.0,8,400.0,170,4668.0,12,1976,US
23.2,4,156.0,105,2745.0,17,1979,US
27.0,4,97.0,60,1834.0,19,1972,Europe
26.5,4,140.0,72,2565.0,14,1977,US
13.0,8,360.0,170,4654.0,13,1974,US
30.9,4,105.0,75,2230.0,15,1979,US
20.0,4,114.0,91,2582.0,14,1974,Europe
36.1,4,98.0,66,1800.0,14,1979,US
26.0,4,97.0,78,2300.0,15,1975,Europe
28.0,4,151.0,90,2678.0,17,1981,US
12.0,8,455.0,225,4951.0,11,1974,US
17.0,8,304.0,150,3672.0,12,1973,US
15.0,8,350.0,145,4440.0,14,1976,US
16.0,8,318.0,150,4190.0,13,1977,US
26.0,4,91.0,70,1955.0,21,1972,US
13.0,8,302.0,129,3169.0,12,1976,US
22.0,4,121.0,98,2945.0,15,1976,Europe
21.0,4,120.0,87,2979.0,20,1973,Europe
26.8,6,173.0,115,2700.0,13,1980,US
29.0,4,97.0,75,2171.0,16,1976,Japan
32.0,4,144.0,96,2665.0,14,1983,Japan
35.1,4,81.0,60,1760.0,16,1982,Japan
19.2,8,267.0,125,3605.0,15,1980,US
23.0,4,120.0,88,2957.0,17,1976,Europe
20.6,6,225.0,110,3360.0,17,1980,US
27.0,4,151.0,90,2735.0,18,1983,US
15.0,8,350.0,165,3693.0,12,1971,US
18.1,8,302.0,139,3205.0,11,1979,US
31.3,4,120.0,75,2542.0,18,1981,Japan
27.5,4,134.0,95,2560.0,14,1979,Japan
14.0,8,455.0,225,4425.0,10,1971,US
15.0,6,250.0,72,3158.0,20,1976,US
28.0,4,107.0,86,2464.0,16,1977,Europe
19.0,6,250.0,88,3302.0,16,1972,US
18.0,3,70.0,90,2124.0,14,1974,Japan
29.5,4,98.0,68,2135.0,17,1979,Japan
19.0,6,232.0,100,2634.0,13,1972,US
16.2,6,163.0,133,3410.0,16,1979,Europe
24.3,4,151.0,90,3003.0,20,1981,US
17.5,8,318.0,140,4080.0,14,1979,US
18.0,6,171.0,97,2984.0,15,1976,US
23.0,6,198.0,95,2904.0,16,1974,US
23.0,4,97.0,54,2254.0,24,1973,Europe
19.9,8,260.0,110,3365.0,16,1979,US
16.0,6,225.0,105,3439.0,16,1972,US
26.0,4,156.0,92,2585.0,15,1983,US
20.0,6,156.0,122,2807.0,14,1974,Japan
38.0,4,105.0,63,2125.0,15,1983,US
32.4,4,107.0,72,2290.0,17,1981,Japan
20.3,5,131.0,103,2830.0,16,1979,Europe
29.0,4,68.0,49,,20,1974,Europe
31.0,4,112.0,85,2575.0,16,1983,US
21.0,4,122.0,86,2226.0,17,1973,US
26.0,4,96.0,69,2189.0,18,1973,Europe
14.0,8,400.0,175,4385.0,12,1973,US
14.0,8,304.0,150,3672.0,12,1974,US
20.2,8,302.0,139,3570.0,13,1979,US
31.5,4,98.0,68,2045.0,19,1978,Japan
19.8,6,,85,2990.0,18,1980,US
33.8,4,97.0,67,2145.0,18,1981,Japan
17.5,8,305.0,140,4215.0,13,1977,US
18.0,8,318.0,150,3436.0,11,1971,US
34.0,4,112.0,88,2395.0,18,1983,US
20.8,6,200.0,85,3070.0,17,1979,US
18.0,6,250.0,105,3459.0,16,1976,US
13.0,8,318.0,150,3940.0,13,1977,US
14.0,8,351.0,153,4129.0,13,1973,US
13.0,8,440.0,215,4735.0,11,1974,US
25.8,4,156.0,92,2620.0,14,1982,US
28.4,4,151.0,90,2670.0,16,1980,US
13.0,8,400.0,190,4422.0,13,1973,US
15.0,8,350.0,145,4082.0,13,1974,US
14.0,8,318.0,150,4077.0,14,1973,US
41.5,4,98.0,76,2144.0,15,1981,Europe
27.2,4,135.0,84,2490.0,16,1982,US
43.1,4,90.0,48,1985.0,22,1979,Europe
29.0,4,90.0,70,1937.0,14,1976,Europe
33.5,4,85.0,70,1945.0,17,1978,Japan
26.0,4,116.0,75,2246.0,14,1975,Europe
23.0,4,140.0,83,2639.0,17,1976,US
23.9,8,260.0,90,3420.0,22,1980,US
19.0,6,225.0,100,3630.0,18,1978,US
21.0,4,140.0,72,2401.0,20,1974,US
15.0,8,390.0,190,3850.0,9,1971,US
40.8,4,85.0,65,2110.0,19,1981,Japan
18.0,6,250.0,88,3021.0,17,1974,US
13.0,8,307.0,130,4098.0,14,1973,US
25.4,6,168.0,116,2900.0,13,1982,Japan
22.0,6,146.0,97,2815.0,15,1978,Japan
17.7,6,231.0,165,3445.0,13,1979,US
39.1,4,79.0,58,1755.0,17,1982,Japan
30.0,4,79.0,70,2074.0,20,1972,Europe
22.0,6,225.0,100,3233.0,15,1977,US
32.9,4,119.0,100,2615.0,15,1982,Japan
37.0,4,85.0,65,1975.0,19,1982,Japan
14.5,8,351.0,152,4215.0,13,1977,US
28.8,6,173.0,115,2595.0,11,1980,US
15.0,8,302.0,130,4295.0,15,1978,US
17.5,6,258.0,95,3193.0,18,1977,US
21.6,4,121.0,115,2795.0,16,1979,Europe
14.0,8,318.0,150,4457.0,14,1975,US
16.5,6,168.0,120,3820.0,17,1977,Europe
14.0,8,302.0,137,4042.0,15,1974,US
32.0,4,83.0,61,2003.0,19,1975,Japan
10.0,8,360.0,215,4615.0,14,1971,US
31.0,4,76.0,52,1649.0,17,1975,Japan
21.0,6,200.0,85,2587.0,16,1971,US
27.0,4,140.0,86,2790.0,16,1983,US
15.0,8,383.0,170,3563.0,10,1971,US
28.0,4,120.0,79,2625.0,19,1983,US
23.0,4,140.0,78,2592.0,19,1976,US
16.0,8,318.0,150,4498.0,15,1976,US
20.0,4,130.0,102,3150.0,16,1977,Europe
44.0,4,97.0,52,2130.0,25,1983,Europe
14.0,8,318.0,150,4096.0,13,1972,US
20.2,6,200.0,85,2965.0,16,1979,US
39.0,4,86.0,64,1875.0,16,1982,US
23.0,4,122.0,86,2220.0,14,1972,US
13.0,8,350.0,145,4055.0,12,1977,US
18.0,6,225.0,105,3121.0,17,1974,US
16.0,8,400.0,180,4220.0,11,1978,US
25.0,4,110.0,87,2672.0,18,1971,Europe
14.0,8,454.0,220,4354.0,9,1971,US
15.0,8,318.0,150,3399.0,11,1974,US
19.4,8,318.0,140,3735.0,13,1979,US
44.3,4,90.0,48,2085.0,22,1981,Europe
28.0,4,97.0,75,2155.0,16,1977,Japan
29.0,4,135.0,84,2525.0,16,1983,US
32.1,4,98.0,70,2120.0,16,1981,US
24.0,4,121.0,110,2660.0,14,1974,Europe
36.4,5,121.0,67,2950.0,20,1981,Europe
13.0,8,350.0,145,3988.0,13,1974,US
23.5,6,173.0,110,2725.0,13,1982,US
24.0,4,113.0,95,2372.0,15,1971,Japan
17.0,8,305.0,130,3840.0,15,1980,US
36.1,4,91.0,60,1800.0,16,1979,Japan
22.0,6,232.0,112,2835.0,15,1983,US
18.0,6,232.0,100,3288.0,16,1972,US
22.0,6,250.0,105,3353.0,15,1977,US
